appid,name,genres,steamspy_tags,steamspy_tags_weighted
272060,Serena,"Adventure, Indie",Horror;Free to Play;Indie;Point & Click;Psychological Horror;Story Rich;Adventure;Dark;Short;First-Person;Mystery;Atmospheric;Multiplayer;Singleplayer;Puzzle;Walking Simulator;Hidden Object;Co-op;Exploration;Romance,"{""Horror"": 5227, ""Free to Play"": 258, ""Indie"": 207, ""Point & Click"": 195, ""Psychological Horror"": 155, ""Story Rich"": 133, ""Adventure"": 132, ""Dark"": 126, ""Short"": 116, ""First-Person"": 101, ""Mystery"": 96, ""Atmospheric"": 94, ""Multiplayer"": 84, ""Singleplayer"": 72, ""Puzzle"": 31, ""Walking Simulator"": 22, ""Hidden Object"": 17, ""Co-op"": 17, ""Exploration"": 10, ""Romance"": 7}"
303610,Suicide Guy,Action,Funny;Action;Comedy;Singleplayer;Puzzle;Adventure;Physics;Indie;Platformer;3D Platformer;First-Person;Dark Humor;Female Protagonist;Puzzle-Platformer;FPS;Atmospheric;Sci-fi;Classic;Story Rich;Science,"{""Funny"": 161, ""Action"": 156, ""Comedy"": 133, ""Singleplayer"": 131, ""Puzzle"": 129, ""Adventure"": 113, ""Physics"": 76, ""Indie"": 68, ""Platformer"": 60, ""3D Platformer"": 60, ""First-Person"": 58, ""Dark Humor"": 55, ""Female Protagonist"": 54, ""Puzzle-Platformer"": 53, ""FPS"": 49, ""Atmospheric"": 48, ""Sci-fi"": 48, ""Classic"": 48, ""Story Rich"": 47, ""Science"": 47}"
322450,FRAMED Collection,"Adventure, Casual, Indie",Puzzle;Casual;Indie;Adventure;Noir;Comic Book;Singleplayer;Minimalist;Touch-Friendly;Heist;Family Friendly;Point & Click;Great Soundtrack;Strategy;2D;Cartoon;Music;Platformer;Puzzle-Platformer;Addictive,"{""Puzzle"": 63, ""Casual"": 59, ""Indie"": 58, ""Adventure"": 53, ""Noir"": 52, ""Comic Book"": 51, ""Singleplayer"": 37, ""Minimalist"": 35, ""Touch-Friendly"": 31, ""Heist"": 30, ""Family Friendly"": 27, ""Point & Click"": 23, ""Great Soundtrack"": 20, ""Strategy"": 14, ""2D"": 13, ""Cartoon"": 13, ""Music"": 12, ""Platformer"": 11, ""Puzzle-Platformer"": 11, ""Addictive"": 10}"
349460,Lord of the Dark Castle,"Action, Adventure, Casual, Indie, RPG, Strategy",RPG;Turn-Based;Action;Dungeon Crawler;Strategy;Casual;Adventure;Indie;Rogue-like;Point & Click;Turn-Based Strategy;Strategy RPG;Exploration;CRPG;Turn-Based Tactics;2D;Top-Down;Fantasy;Atmospheric;Gothic,"{""RPG"": 168, ""Turn-Based"": 162, ""Action"": 160, ""Dungeon Crawler"": 160, ""Strategy"": 156, ""Casual"": 154, ""Adventure"": 147, ""Indie"": 145, ""Rogue-like"": 144, ""Point & Click"": 136, ""Turn-Based Strategy"": 135, ""Strategy RPG"": 133, ""Exploration"": 130, ""CRPG"": 128, ""Turn-Based Tactics"": 122, ""2D"": 119, ""Top-Down"": 116, ""Fantasy"": 112, ""Atmospheric"": 101, ""Gothic"": 99}"
355020,Bomb The Monsters!,"Action, Adventure, Casual, Strategy",Casual;Adventure;Action;Strategy;Puzzle;Arcade;Side Scroller;Puzzle-Platformer;Clicker;Precision Platformer;2D;Cute;Cartoony;Colorful;Family Friendly;Building;Tactical;Physics;Singleplayer,"{""Casual"": 106, ""Adventure"": 100, ""Action"": 97, ""Strategy"": 94, ""Puzzle"": 90, ""Arcade"": 83, ""Side Scroller"": 80, ""Puzzle-Platformer"": 77, ""Clicker"": 74, ""Precision Platformer"": 65, ""2D"": 58, ""Cute"": 54, ""Cartoony"": 50, ""Colorful"": 45, ""Family Friendly"": 41, ""Building"": 33, ""Tactical"": 31, ""Physics"": 29, ""Singleplayer"": 27}"
364690,SUPER DISTRO,"Action, Adventure, Indie",Indie;Action;Adventure;Platformer;Difficult;2D,"{""Indie"": 53, ""Action"": 26, ""Adventure"": 25, ""Platformer"": 23, ""Difficult"": 13, ""2D"": 12}"
386280,Vendetta - Curse of Raven's Cry,"Action, Indie, RPG",Action;Indie;RPG;Pirates;Open World;Singleplayer;Adventure,"{""Action"": 41, ""Indie"": 37, ""RPG"": 36, ""Pirates"": 20, ""Open World"": 14, ""Singleplayer"": 9, ""Adventure"": 8}"
389270,Through Abandoned: The Underground City,"Adventure, Casual, Indie",Adventure;Point & Click;Indie;Puzzle;Singleplayer;Exploration;Mystery;Atmospheric;Hand-drawn;Drama;Sci-fi;Time Travel;Casual;Story Rich;Narration;Short;2D;First-Person;Surreal;Comedy,"{""Adventure"": 113, ""Point & Click"": 104, ""Indie"": 104, ""Puzzle"": 101, ""Singleplayer"": 95, ""Exploration"": 90, ""Mystery"": 82, ""Atmospheric"": 81, ""Hand-drawn"": 80, ""Drama"": 72, ""Sci-fi"": 69, ""Time Travel"": 65, ""Casual"": 63, ""Story Rich"": 62, ""Narration"": 58, ""Short"": 53, ""2D"": 45, ""First-Person"": 40, ""Surreal"": 36, ""Comedy"": 31}"
391220,Rise of the Tomb Raider,"Action, Adventure",Adventure;Action;Female Protagonist;Singleplayer;Third Person;Exploration;Open World;Action-Adventure;Story Rich;Survival;Puzzle;Stealth;Atmospheric;Third-Person Shooter;Parkour;Shooter;RPG;Multiplayer;Great Soundtrack;Quick-Time Events,"{""Adventure"": 1691, ""Action"": 1301, ""Female Protagonist"": 1026, ""Singleplayer"": 965, ""Third Person"": 922, ""Exploration"": 894, ""Open World"": 886, ""Action-Adventure"": 835, ""Story Rich"": 806, ""Survival"": 731, ""Puzzle"": 682, ""Stealth"": 570, ""Atmospheric"": 523, ""Third-Person Shooter"": 507, ""Parkour"": 454, ""Shooter"": 446, ""RPG"": 354, ""Multiplayer"": 323, ""Great Soundtrack"": 273, ""Quick-Time Events"": 261}"
395570,We Are The Dwarves,"Action, Adventure, Indie, Massively Multiplayer, RPG, Strategy",Indie;Adventure;Action;Dwarf;Singleplayer;RPG;Fantasy;Isometric;Hack and Slash;Multiplayer;Action RPG;Action Roguelike;Open World;Rogue-lite;Tower Defense;Exploration;Crafting;Online Co-Op;Co-op;Strategy,"{""Indie"": 576, ""Adventure"": 200, ""Action"": 182, ""Dwarf"": 163, ""Singleplayer"": 157, ""RPG"": 141, ""Fantasy"": 136, ""Isometric"": 135, ""Hack and Slash"": 131, ""Multiplayer"": 128, ""Action RPG"": 124, ""Action Roguelike"": 121, ""Open World"": 118, ""Rogue-lite"": 115, ""Tower Defense"": 112, ""Exploration"": 111, ""Crafting"": 110, ""Online Co-Op"": 104, ""Co-op"": 102, ""Strategy"": 83}"
400250,Heaven Island - VR MMO,"Adventure, Indie, Massively Multiplayer",Walking Simulator;Adventure;Indie;Massively Multiplayer;VR;Exploration;Open World;Multiplayer;Relaxing;Casual;Simulation,"{""Walking Simulator"": 151, ""Adventure"": 65, ""Indie"": 63, ""Massively Multiplayer"": 56, ""VR"": 51, ""Exploration"": 37, ""Open World"": 32, ""Multiplayer"": 31, ""Relaxing"": 27, ""Casual"": 25, ""Simulation"": 18}"
418370,Resident Evil 7 Biohazard,"Action, Adventure",Horror;Survival Horror;First-Person;Singleplayer;Gore;Atmospheric;Zombies;VR;Psychological Horror;Action;Violent;Survival;Puzzle;Story Rich;Adventure;Multiplayer;FPS;Exploration;Shooter;Classic,"{""Horror"": 1264, ""Survival Horror"": 980, ""First-Person"": 844, ""Singleplayer"": 727, ""Gore"": 673, ""Atmospheric"": 659, ""Zombies"": 642, ""VR"": 636, ""Psychological Horror"": 598, ""Action"": 530, ""Violent"": 516, ""Survival"": 452, ""Puzzle"": 450, ""Story Rich"": 444, ""Adventure"": 433, ""Multiplayer"": 419, ""FPS"": 354, ""Exploration"": 310, ""Shooter"": 303, ""Classic"": 162}"
428660,Deliver Us The Moon,"Action, Adventure, Indie",Adventure;Indie;Action;Space;Sci-fi;Singleplayer;Atmospheric;Story Rich;Puzzle;Mystery;Space Sim;Exploration;Drama;Simulation;Short;Action-Adventure;Walking Simulator;Survival;Third Person;First-Person,"{""Adventure"": 168, ""Indie"": 140, ""Action"": 120, ""Space"": 101, ""Sci-fi"": 79, ""Singleplayer"": 64, ""Atmospheric"": 63, ""Story Rich"": 56, ""Puzzle"": 47, ""Mystery"": 42, ""Space Sim"": 39, ""Exploration"": 37, ""Drama"": 34, ""Simulation"": 30, ""Short"": 27, ""Action-Adventure"": 25, ""Walking Simulator"": 24, ""Survival"": 21, ""Third Person"": 18, ""First-Person"": 10}"
465190,Space Survival,"Action, Adventure, Indie",Action;Indie;Adventure;Space;Survival;Hidden Object;2D;Casual;Arcade;Shooter;Action-Adventure;Shoot 'Em Up;Bullet Hell;Top-Down Shooter;Top-Down;Colorful;Aliens;Sci-fi;Perma Death;Singleplayer,"{""Action"": 91, ""Indie"": 85, ""Adventure"": 82, ""Space"": 80, ""Survival"": 76, ""Hidden Object"": 70, ""2D"": 68, ""Casual"": 67, ""Arcade"": 65, ""Shooter"": 62, ""Action-Adventure"": 60, ""Shoot 'Em Up"": 58, ""Bullet Hell"": 56, ""Top-Down Shooter"": 54, ""Top-Down"": 52, ""Colorful"": 50, ""Aliens"": 48, ""Sci-fi"": 46, ""Perma Death"": 43, ""Singleplayer"": 32}"
476480,Heaven Forest - VR MMO,"Adventure, Massively Multiplayer",Massively Multiplayer;Adventure;VR;Walking Simulator;Multiplayer;Online Co-Op;Open World,"{""Massively Multiplayer"": 60, ""Adventure"": 29, ""VR"": 22, ""Walking Simulator"": 17, ""Multiplayer"": 15, ""Online Co-Op"": 13, ""Open World"": 6}"
482890,Fantasy Kingdom Simulator,"Casual, Indie, Simulation, Strategy",Casual;Strategy;Indie;Simulation;Abstract;Management;Turn-Based Strategy;Grand Strategy;Strategy RPG,"{""Casual"": 39, ""Strategy"": 21, ""Indie"": 21, ""Simulation"": 21, ""Abstract"": 12, ""Management"": 12, ""Turn-Based Strategy"": 10, ""Grand Strategy"": 9, ""Strategy RPG"": 9}"
490910,Control Craft 3,"Action, Adventure, Casual, Indie, Simulation, Strategy",Exploration;Metroidvania;Choose Your Own Adventure;Trading Card Game;Action RTS;Real Time Tactics;Top-Down Shooter;War;Tower Defense;RTS;Shooter;Turn-Based Strategy;Arcade;Character Customization;Strategy;2D;Funny;Simulation;Choices Matter;Action,"{""Exploration"": 270, ""Metroidvania"": 262, ""Choose Your Own Adventure"": 260, ""Trading Card Game"": 257, ""Action RTS"": 255, ""Real Time Tactics"": 247, ""Top-Down Shooter"": 247, ""War"": 242, ""Tower Defense"": 242, ""RTS"": 239, ""Shooter"": 236, ""Turn-Based Strategy"": 233, ""Arcade"": 228, ""Character Customization"": 216, ""Strategy"": 215, ""2D"": 206, ""Funny"": 201, ""Simulation"": 193, ""Choices Matter"": 189, ""Action"": 183}"
503900,Candy Smash VR,"Action, Casual, Indie, Simulation, Sports",VR;Action;3D Fighter;Sports;Casual;Simulation;Indie;Cute;Arcade;On-Rails Shooter;First-Person;Colorful;Family Friendly;Funny;Martial Arts;Score Attack;Physics;Singleplayer;Zombies;Spectacle fighter,"{""VR"": 98, ""Action"": 92, ""3D Fighter"": 88, ""Sports"": 84, ""Casual"": 79, ""Simulation"": 64, ""Indie"": 62, ""Cute"": 57, ""Arcade"": 55, ""On-Rails Shooter"": 51, ""First-Person"": 49, ""Colorful"": 44, ""Family Friendly"": 42, ""Funny"": 40, ""Martial Arts"": 38, ""Score Attack"": 36, ""Physics"": 34, ""Singleplayer"": 32, ""Zombies"": 30, ""Spectacle fighter"": 28}"
504370,Battlerite,"Action, Free To Play",PvP;Multiplayer;MOBA;Competitive;Action;Free to Play;Arena Shooter;Fast-Paced;Team-Based;Fighting;Top-Down;Early Access;Strategy;e-sports;Difficult;Great Soundtrack;RPG;Top-Down Shooter;Hack and Slash;Atmospheric,"{""PvP"": 909, ""Multiplayer"": 785, ""MOBA"": 660, ""Competitive"": 623, ""Action"": 526, ""Free to Play"": 525, ""Arena Shooter"": 424, ""Fast-Paced"": 377, ""Team-Based"": 340, ""Fighting"": 314, ""Top-Down"": 291, ""Early Access"": 186, ""Strategy"": 158, ""e-sports"": 141, ""Difficult"": 116, ""Great Soundtrack"": 84, ""RPG"": 81, ""Top-Down Shooter"": 78, ""Hack and Slash"": 75, ""Atmospheric"": 60}"
505210,Neon Space 2,"Action, Adventure, Casual, Indie, Strategy",Action;Indie;Casual;Strategy;Adventure,"{""Action"": 41, ""Indie"": 38, ""Casual"": 35, ""Strategy"": 34, ""Adventure"": 33}"
512410,69 Ways to Kill a Zombie,"Action, Adventure, Casual, Indie, Simulation",VR;Zombies;FPS;Fighting;Indie;Simulation;Adventure;Horror;Action;Arcade;Point & Click;Shooter;3D Fighter;On-Rails Shooter;Arena Shooter;Survival Horror;Voxel;First-Person;Pixel Graphics;Illuminati,"{""VR"": 216, ""Zombies"": 210, ""FPS"": 207, ""Fighting"": 203, ""Indie"": 199, ""Simulation"": 191, ""Adventure"": 186, ""Horror"": 183, ""Action"": 179, ""Arcade"": 177, ""Point & Click"": 175, ""Shooter"": 166, ""3D Fighter"": 159, ""On-Rails Shooter"": 157, ""Arena Shooter"": 155, ""Survival Horror"": 152, ""Voxel"": 146, ""First-Person"": 130, ""Pixel Graphics"": 112, ""Illuminati"": 93}"
513340,Through Abandoned: The Forest,"Adventure, Indie",Indie;Adventure;Singleplayer;Time Travel;Mystery;Puzzle;Story Rich;Point & Click;Drama;Narration;Exploration;Atmospheric;2D;Hand-drawn;Sci-fi;Hidden Object;Short;Sequel;Linear;Surreal,"{""Indie"": 119, ""Adventure"": 112, ""Singleplayer"": 110, ""Time Travel"": 105, ""Mystery"": 102, ""Puzzle"": 97, ""Story Rich"": 87, ""Point & Click"": 85, ""Drama"": 83, ""Narration"": 80, ""Exploration"": 75, ""Atmospheric"": 70, ""2D"": 67, ""Hand-drawn"": 62, ""Sci-fi"": 58, ""Hidden Object"": 46, ""Short"": 39, ""Sequel"": 32, ""Linear"": 30, ""Surreal"": 29}"
525300,Starship Annihilator,"Action, Indie",Indie;Action;Shoot 'Em Up,"{""Indie"": 51, ""Action"": 23, ""Shoot 'Em Up"": 16}"
545590,Button Tales,Casual,Match 3;Casual;Adventure;Puzzle;2D;Cartoon;Cute;Story Rich;Family Friendly;Singleplayer;Indie;Base-Building;Relaxing;Cartoony;Colorful;Arcade;Mystery;Comedy;Anime;Action,"{""Match 3"": 112, ""Casual"": 106, ""Adventure"": 103, ""Puzzle"": 100, ""2D"": 97, ""Cartoon"": 91, ""Cute"": 88, ""Story Rich"": 83, ""Family Friendly"": 79, ""Singleplayer"": 72, ""Indie"": 67, ""Base-Building"": 65, ""Relaxing"": 63, ""Cartoony"": 59, ""Colorful"": 56, ""Arcade"": 51, ""Mystery"": 43, ""Comedy"": 32, ""Anime"": 32, ""Action"": 30}"
562730,MechDefender - Tower Defense,"Action, Adventure, Casual, Indie, Sports, Strategy",Trading Card Game;Turn-Based Tactics;Wargame;Tower Defense;Real Time Tactics;Puzzle;Mechs;Military;Survival;War;Difficult;Turn-Based Strategy;Grand Strategy;Character Customization;Strategy;Turn-Based Combat;Action;Casual;Simulation;Realistic,"{""Trading Card Game"": 217, ""Turn-Based Tactics"": 213, ""Wargame"": 210, ""Tower Defense"": 209, ""Real Time Tactics"": 204, ""Puzzle"": 203, ""Mechs"": 194, ""Military"": 189, ""Survival"": 181, ""War"": 177, ""Difficult"": 174, ""Turn-Based Strategy"": 163, ""Grand Strategy"": 153, ""Character Customization"": 147, ""Strategy"": 141, ""Turn-Based Combat"": 130, ""Action"": 127, ""Casual"": 122, ""Simulation"": 109, ""Realistic"": 97}"
564210,Fishermurs,"Action, Indie, Massively Multiplayer",Action;Massively Multiplayer;Indie;Survival;Dark Humor;Sports;Arcade;Racing;e-sports;Spectacle fighter;Arena Shooter;Top-Down Shooter;3D;Beautiful;Cute;Hand-drawn;Colorful;Naval;Bullet Time;PvE,"{""Action"": 181, ""Massively Multiplayer"": 170, ""Indie"": 168, ""Survival"": 165, ""Dark Humor"": 163, ""Sports"": 155, ""Arcade"": 154, ""Racing"": 148, ""e-sports"": 140, ""Spectacle fighter"": 138, ""Arena Shooter"": 136, ""Top-Down Shooter"": 133, ""3D"": 132, ""Beautiful"": 127, ""Cute"": 126, ""Hand-drawn"": 121, ""Colorful"": 119, ""Naval"": 104, ""Bullet Time"": 85, ""PvE"": 69}"
567780,Satellite Repairman,"Action, Casual, Indie, Simulation",Action;Indie;Simulation;Space;Arcade;Fast-Paced;Base-Building;2D Platformer;Side Scroller;Exploration;2D;Futuristic;Automation;Atmospheric;Crafting;Singleplayer;Casual,"{""Action"": 105, ""Indie"": 99, ""Simulation"": 96, ""Space"": 95, ""Arcade"": 92, ""Fast-Paced"": 87, ""Base-Building"": 78, ""2D Platformer"": 72, ""Side Scroller"": 70, ""Exploration"": 68, ""2D"": 66, ""Futuristic"": 64, ""Automation"": 56, ""Atmospheric"": 55, ""Crafting"": 53, ""Singleplayer"": 51, ""Casual"": 49}"
575920,Felix Jumpman,"Action, Casual, Indie",Indie;Action;3D Platformer;Singleplayer;Platformer;Dating Sim;Space;Psychological Horror;Adventure;Walking Simulator;Exploration;Minimalist;3D;Survival;Atmospheric;Physics;Casual;Relaxing;Nudity,"{""Indie"": 125, ""Action"": 119, ""3D Platformer"": 116, ""Singleplayer"": 113, ""Platformer"": 110, ""Dating Sim"": 104, ""Space"": 100, ""Psychological Horror"": 97, ""Adventure"": 95, ""Walking Simulator"": 92, ""Exploration"": 87, ""Minimalist"": 82, ""3D"": 79, ""Survival"": 75, ""Atmospheric"": 70, ""Physics"": 63, ""Casual"": 60, ""Relaxing"": 37, ""Nudity"": 28}"
577740,Winexy,"Adventure, Casual, Indie",Casual;Indie;Puzzle;Simulation;Abstract;Difficult;Replay Value;Arcade;Third Person;Physics;Singleplayer;Fantasy;Surreal;Family Friendly;Atmospheric;3D Platformer;Walking Simulator;Multiplayer;Short;Adventure,"{""Casual"": 137, ""Indie"": 131, ""Puzzle"": 127, ""Simulation"": 124, ""Abstract"": 121, ""Difficult"": 115, ""Replay Value"": 113, ""Arcade"": 111, ""Third Person"": 108, ""Physics"": 104, ""Singleplayer"": 102, ""Fantasy"": 99, ""Surreal"": 97, ""Family Friendly"": 94, ""Atmospheric"": 88, ""3D Platformer"": 81, ""Walking Simulator"": 79, ""Multiplayer"": 75, ""Short"": 62, ""Adventure"": 49}"
586790,Hold your houses,"Action, Strategy",Action;Strategy;Tower Defense;Shooter;Real Time Tactics;FPS;3D;First-Person;Atmospheric;Military;War;Survival;Combat;Base-Building;Singleplayer;Violent;Female Protagonist;Memes,"{""Action"": 94, ""Strategy"": 68, ""Tower Defense"": 60, ""Shooter"": 58, ""Real Time Tactics"": 54, ""FPS"": 49, ""3D"": 47, ""First-Person"": 45, ""Atmospheric"": 43, ""Military"": 40, ""War"": 38, ""Survival"": 37, ""Combat"": 35, ""Base-Building"": 32, ""Singleplayer"": 31, ""Violent"": 29, ""Female Protagonist"": 26, ""Memes"": 25}"
587810,Bang Bang Fruit,"Casual, Indie",Indie;Casual;Puzzle;2D;Side Scroller;Physics;Short;Minimalist;Singleplayer;Family Friendly;Relaxing;Difficult;Logic;Education,"{""Indie"": 44, ""Casual"": 35, ""Puzzle"": 16, ""2D"": 15, ""Side Scroller"": 14, ""Physics"": 14, ""Short"": 14, ""Minimalist"": 13, ""Singleplayer"": 13, ""Family Friendly"": 13, ""Relaxing"": 12, ""Difficult"": 12, ""Logic"": 12, ""Education"": 11}"
597920,Survivalizm - The Animal Simulator,"Action, Adventure, Indie, Massively Multiplayer, Simulation",Simulation;Adventure;Early Access;Action;Indie;Massively Multiplayer,"{""Simulation"": 35, ""Adventure"": 32, ""Early Access"": 32, ""Action"": 31, ""Indie"": 31, ""Massively Multiplayer"": 30}"
601640,The guard of dungeon,"Action, Indie",Action;Indie;FPS;Gore;Shooter;First-Person;Singleplayer;Aliens;Great Soundtrack;Underground;Real-Time with Pause;Blood;Violent;Atmospheric;Difficult;Music;Old School,"{""Action"": 59, ""Indie"": 36, ""FPS"": 20, ""Gore"": 20, ""Shooter"": 17, ""First-Person"": 16, ""Singleplayer"": 16, ""Aliens"": 15, ""Great Soundtrack"": 15, ""Underground"": 14, ""Real-Time with Pause"": 14, ""Blood"": 14, ""Violent"": 14, ""Atmospheric"": 14, ""Difficult"": 14, ""Music"": 14, ""Old School"": 13}"
617480,Tower of Time,"Indie, RPG, Strategy",Real Time Tactics;Real-Time;Turn-Based;Party-Based RPG;Strategy;Real-Time with Pause;RPG;Isometric;Lore-Rich;Story Rich;Fantasy;Atmospheric;Adventure;Singleplayer;Dungeons & Dragons;Indie;Dungeon Crawler;CRPG;Great Soundtrack;Realistic,"{""Real Time Tactics"": 155, ""Real-Time"": 150, ""Turn-Based"": 144, ""Party-Based RPG"": 134, ""Strategy"": 127, ""Real-Time with Pause"": 125, ""RPG"": 117, ""Isometric"": 115, ""Lore-Rich"": 113, ""Story Rich"": 105, ""Fantasy"": 98, ""Atmospheric"": 94, ""Adventure"": 90, ""Singleplayer"": 82, ""Dungeons & Dragons"": 80, ""Indie"": 77, ""Dungeon Crawler"": 56, ""CRPG"": 50, ""Great Soundtrack"": 45, ""Realistic"": 12}"
624690,NEXT JUMP: Shmup Tactics,"Indie, Strategy",Shoot 'Em Up;Turn-Based;Rogue-lite;Puzzle;Bullet Hell;Turn-Based Strategy;Top-Down Shooter;Turn-Based Tactics;Difficult;Tactical RPG;Rogue-like;Tactical;Strategy RPG;Strategy;Pixel Graphics;2D;Turn-Based Combat;Grid-Based Movement;Space;Great Soundtrack,"{""Shoot 'Em Up"": 191, ""Turn-Based"": 184, ""Rogue-lite"": 179, ""Puzzle"": 177, ""Bullet Hell"": 174, ""Turn-Based Strategy"": 173, ""Top-Down Shooter"": 166, ""Turn-Based Tactics"": 159, ""Difficult"": 153, ""Tactical RPG"": 149, ""Rogue-like"": 149, ""Tactical"": 145, ""Strategy RPG"": 134, ""Strategy"": 133, ""Pixel Graphics"": 129, ""2D"": 121, ""Turn-Based Combat"": 108, ""Grid-Based Movement"": 100, ""Space"": 100, ""Great Soundtrack"": 98}"
630060,寇莎梅特：困世迷情 Consummate:Missing World,"Adventure, Indie, RPG",RPG;Adventure;Indie;RPGMaker;Female Protagonist;Story Rich;Horror;Violent;Pixel Graphics;Nonlinear;Escape Room;Mystery;Comedy;Nudity;Sexual Content;Anime;2D,"{""RPG"": 39, ""Adventure"": 36, ""Indie"": 32, ""RPGMaker"": 27, ""Female Protagonist"": 17, ""Story Rich"": 15, ""Horror"": 14, ""Violent"": 14, ""Pixel Graphics"": 13, ""Nonlinear"": 11, ""Escape Room"": 10, ""Mystery"": 10, ""Comedy"": 10, ""Nudity"": 9, ""Sexual Content"": 9, ""Anime"": 7, ""2D"": 5}"
671510,DESOLATE,"Action, Adventure, RPG",Survival;Open World;Horror;Zombies;First-Person;Adventure;Action;Gore;Atmospheric;Singleplayer;Stealth;Mature;Survival Horror;Early Access;Crafting;Strategy;Sandbox;Psychological Horror;Third Person;Difficult,"{""Survival"": 287, ""Open World"": 258, ""Horror"": 249, ""Zombies"": 170, ""First-Person"": 159, ""Adventure"": 148, ""Action"": 134, ""Gore"": 125, ""Atmospheric"": 61, ""Singleplayer"": 56, ""Stealth"": 45, ""Mature"": 41, ""Survival Horror"": 41, ""Early Access"": 34, ""Crafting"": 32, ""Strategy"": 28, ""Sandbox"": 24, ""Psychological Horror"": 21, ""Third Person"": 17, ""Difficult"": 14}"
672860,StellarHub,Simulation,Simulation;Base-Building;Management;Space;Building;Sci-fi,"{""Simulation"": 86, ""Base-Building"": 26, ""Management"": 23, ""Space"": 18, ""Building"": 14, ""Sci-fi"": 14}"
683830,Weable,"Action, Casual, Indie",Action;Indie;Casual;Top-Down;2D,"{""Action"": 42, ""Indie"": 32, ""Casual"": 32, ""Top-Down"": 14, ""2D"": 13}"
693800,Loco Parentis / 孤女咒怨,"Action, Adventure, Indie, Massively Multiplayer, RPG",Indie;Adventure;Horror;Co-op;Action;Massively Multiplayer;RPG;Dark;VR;Psychological Horror;Violent;Mystery;Online Co-Op;Rogue-lite;Gore;First-Person;Story Rich,"{""Indie"": 89, ""Adventure"": 88, ""Horror"": 75, ""Co-op"": 65, ""Action"": 61, ""Massively Multiplayer"": 58, ""RPG"": 49, ""Dark"": 41, ""VR"": 39, ""Psychological Horror"": 39, ""Violent"": 35, ""Mystery"": 35, ""Online Co-Op"": 33, ""Rogue-lite"": 12, ""Gore"": 11, ""First-Person"": 6, ""Story Rich"": 5}"
711660,CHUCHEL,"Adventure, Casual, Indie",Casual;Comedy;Funny;Point & Click;Cartoon;Colorful;Family Friendly;Cute;Cartoony;2D;Linear;Singleplayer;Hand-drawn;Stylized;Surreal;Puzzle;Interactive Fiction;Story Rich;Adventure;Indie,"{""Casual"": 246, ""Comedy"": 242, ""Funny"": 236, ""Point & Click"": 232, ""Cartoon"": 228, ""Colorful"": 220, ""Family Friendly"": 219, ""Cute"": 213, ""Cartoony"": 210, ""2D"": 197, ""Linear"": 182, ""Singleplayer"": 181, ""Hand-drawn"": 165, ""Stylized"": 151, ""Surreal"": 142, ""Puzzle"": 142, ""Interactive Fiction"": 141, ""Story Rich"": 114, ""Adventure"": 110, ""Indie"": 90}"
726360,BOOBS SAGA: Prepare To Hentai Edition,"Action, Adventure, Massively Multiplayer",Early Access;Sexual Content;Nudity;Mature;Violent;Action;Indie;Adventure;Female Protagonist;Gore;Comedy;Singleplayer;Third Person;Fantasy;Atmospheric;Funny;Dark Humor;Horror;Psychological Horror,"{""Early Access"": 30, ""Sexual Content"": 167, ""Nudity"": 162, ""Mature"": 109, ""Violent"": 100, ""Action"": 87, ""Indie"": 84, ""Adventure"": 80, ""Female Protagonist"": 80, ""Gore"": 80, ""Comedy"": 63, ""Singleplayer"": 52, ""Third Person"": 46, ""Fantasy"": 46, ""Atmospheric"": 43, ""Funny"": 38, ""Dark Humor"": 38, ""Horror"": 36, ""Psychological Horror"": 34}"
731040,The Invincible,"Action, Adventure, Indie",Adventure;Robots;Futuristic;Walking Simulator;Conversation;Sci-fi;Female Protagonist;Choices Matter;Multiple Endings;Mystery;Space;Story Rich;Thriller;Science;Singleplayer;Aliens;Interactive Fiction;First-Person;Nonlinear;Narration,"{""Adventure"": 588, ""Robots"": 580, ""Futuristic"": 568, ""Walking Simulator"": 553, ""Conversation"": 534, ""Sci-fi"": 498, ""Female Protagonist"": 477, ""Choices Matter"": 468, ""Multiple Endings"": 416, ""Mystery"": 412, ""Space"": 408, ""Story Rich"": 400, ""Thriller"": 397, ""Science"": 395, ""Singleplayer"": 389, ""Aliens"": 387, ""Interactive Fiction"": 371, ""First-Person"": 365, ""Nonlinear"": 363, ""Narration"": 348}"
736850,We. The Revolution,Strategy,Historical;Choices Matter;Political Sim;Adventure;Simulation;Singleplayer;Strategy;Investigation;Story Rich;Turn-Based;Crime;Point & Click;Thriller;Puzzle;Visual Novel;Hand-drawn;Action;Action-Adventure;Crafting;Experimental,"{""Historical"": 312, ""Choices Matter"": 298, ""Political Sim"": 297, ""Adventure"": 294, ""Simulation"": 292, ""Singleplayer"": 282, ""Strategy"": 274, ""Investigation"": 274, ""Story Rich"": 274, ""Turn-Based"": 266, ""Crime"": 262, ""Point & Click"": 254, ""Thriller"": 250, ""Puzzle"": 235, ""Visual Novel"": 230, ""Hand-drawn"": 228, ""Action"": 220, ""Action-Adventure"": 213, ""Crafting"": 204, ""Experimental"": 197}"
